"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,106,"IDN","Indonesia",1,"Aceh","ID.AC",NA,"","Propinsi","Autonomous Province","","Achin|Atjeh|Nanggroe Aceh Darussalam"
2,106,"IDN","Indonesia",2,"Bali","ID.BA",NA,"","Propinsi","Province","","Penida|Lembongan|Ceningan|Menjangan"
3,106,"IDN","Indonesia",3,"Bangka-Belitung","ID.BB",NA,"","Propinsi","Province","","Babel|Kepulauan Bangka Belitung"
4,106,"IDN","Indonesia",4,"Banten","ID.BT",NA,"","Propinsi","Province","",""
5,106,"IDN","Indonesia",5,"Bengkulu","ID.BE",NA,"","Propinsi","Province","","Bencoolen|Benkoelen|Benkulen"
6,106,"IDN","Indonesia",6,"Gorontalo","ID.GO",NA,"","Propinsi","Province","",""
7,106,"IDN","Indonesia",7,"Irian Jaya Barat","ID.IB",NA,"","Propinsi","Province","","New Guinea|Yos Sudarso or Frederick Hendrik|Waigeo|Supiori Biak|Yapen|Misool|Salawati|Batanta"
8,106,"IDN","Indonesia",8,"Jakarta Raya","ID.JK",NA,"","Daerah Khusus Ibukota","Special district","","Jawa|Djakarta"
9,106,"IDN","Indonesia",9,"Jambi","ID.JA",NA,"","Propinsi","Province","","Djambi"
10,106,"IDN","Indonesia",10,"Jawa Barat","ID.JR",NA,"","Propinsi","Province","","Jabar"
11,106,"IDN","Indonesia",11,"Jawa Tengah","ID.JT",NA,"","City","City","","Jateng"
12,106,"IDN","Indonesia",12,"Jawa Timur","ID.JI",NA,"","Propinsi","Province","","Jatim"
13,106,"IDN","Indonesia",13,"Kalimantan Barat","ID.KB",NA,"","Propinsi","Province","","West Kalimantan| Kalbar"
14,106,"IDN","Indonesia",14,"Kalimantan Selatan","ID.KS",NA,"","Propinsi","Province","","Kalsel"
15,106,"IDN","Indonesia",15,"Kalimantan Tengah","ID.KT",NA,"","Propinsi","Province","","Kalteng"
16,106,"IDN","Indonesia",16,"Kalimantan Timur","ID.KI",NA,"","Propinsi","Province","","Kaltim"
17,106,"IDN","Indonesia",17,"Kalimantan Utara","ID.KU",NA,"","Propinsi","Province","","Kaltim"
18,106,"IDN","Indonesia",18,"Kepulauan Riau","ID.KR",NA,"","Propinsi","Province","",""
19,106,"IDN","Indonesia",19,"Lampung","ID.LA",NA,"","Propinsi","Province","",""
20,106,"IDN","Indonesia",20,"Maluku Utara","ID.MU",NA,"","Propinsi","Province","","Malut"
21,106,"IDN","Indonesia",21,"Maluku","ID.MA",NA,"","Propinsi","Province","","Molucas||Moluccas|Molucche|Moluckerna|Moluqu"
22,106,"IDN","Indonesia",22,"Nusa Tenggara Barat","ID.NB",NA,"","Propinsi","Province","","NTB"
23,106,"IDN","Indonesia",23,"Nusa Tenggara Timur","ID.NT",NA,"","Propinsi","Province","","NTT"
24,106,"IDN","Indonesia",24,"Papua","ID.PA",NA,"","Propinsi","Province","","New Guinea|Yos Sudarso or Frederick Hendrik|Waigeo|Supiori Biak|Yapen|Misool|Salawati|Batanta"
25,106,"IDN","Indonesia",25,"Riau","ID.RI",NA,"","Propinsi","Province","","Rhio|Riou|Riouw"
26,106,"IDN","Indonesia",26,"Sulawesi Barat","ID.SR",NA,"","Propinsi","Province","","Sulsel"
27,106,"IDN","Indonesia",27,"Sulawesi Selatan","ID.SE",NA,"","Propinsi","Province","","Sulsel"
28,106,"IDN","Indonesia",28,"Sulawesi Tengah","ID.ST",NA,"","Propinsi","Province","","Sulteng"
29,106,"IDN","Indonesia",29,"Sulawesi Tenggara","ID.SG",NA,"","Propinsi","Province","","Sultra"
30,106,"IDN","Indonesia",30,"Sulawesi Utara","ID.SW",NA,"","Propinsi","Province","","Sulut"
31,106,"IDN","Indonesia",31,"Sumatera Barat","ID.SB",NA,"","Propinsi","Province","","Sumbar"
32,106,"IDN","Indonesia",32,"Sumatera Selatan","ID.SL",NA,"","Propinsi","Province","","Sumsel"
33,106,"IDN","Indonesia",33,"Sumatera Utara","ID.SU",NA,"","Propinsi","Province","","Sumut"
34,106,"IDN","Indonesia",34,"Yogyakarta","ID.YO",NA,"","Daerah Istimewa","Special region","","Jawa|Daerah Istimewa Yogyakarta"
