"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,106,"IDN","Indonesia",1,"Aceh",1,"Aceh Barat Daya","ID.AC.AD",NA,"","Kabupaten","Regency","","South West Aceh"
2,106,"IDN","Indonesia",1,"Aceh",2,"Aceh Barat","ID.AC.AB",NA,"","Kabupaten","Regency","","West Aceh"
3,106,"IDN","Indonesia",1,"Aceh",3,"Aceh Besar","ID.AC.AR",NA,"","Kabupaten","Regency","",""
4,106,"IDN","Indonesia",1,"Aceh",4,"Aceh Jaya","ID.AC.AJ",NA,"","Kabupaten","Regency","",""
5,106,"IDN","Indonesia",1,"Aceh",5,"Aceh Selatan","ID.AC.AS",NA,"","Kabupaten","Regency","","South Aceh"
6,106,"IDN","Indonesia",1,"Aceh",6,"Aceh Singkil","ID.AC.AK",NA,"","Kabupaten","Regency","",""
7,106,"IDN","Indonesia",1,"Aceh",7,"Aceh Tamiang","ID.AC.AM",NA,"","Kabupaten","Regency","",""
8,106,"IDN","Indonesia",1,"Aceh",8,"Aceh Tengah","ID.AC.AT",NA,"","Kabupaten","Regency","","Central Aceh"
9,106,"IDN","Indonesia",1,"Aceh",9,"Aceh Tenggara","ID.AC.AG",NA,"","Kabupaten","Regency","","Southeast Aceh"
10,106,"IDN","Indonesia",1,"Aceh",10,"Aceh Timur","ID.AC.AI",NA,"","Kabupaten","Regency","","East Aceh"
11,106,"IDN","Indonesia",1,"Aceh",11,"Aceh Utara","ID.AC.AU",NA,"","Kabupaten","Regency","","North Aceh"
12,106,"IDN","Indonesia",1,"Aceh",12,"Banda Aceh","ID.AC.BA",NA,"","Kotamadya","Municipality","","Kota Banda Aceh"
13,106,"IDN","Indonesia",1,"Aceh",13,"Bener Meriah","ID.AC.BM",NA,"","Kabupaten","Regency","",""
14,106,"IDN","Indonesia",1,"Aceh",14,"Bireuen","ID.AC.BI",NA,"","Kabupaten","Regency","","Bireun"
15,106,"IDN","Indonesia",1,"Aceh",15,"Gayo Lues","ID.AC.GL",NA,"","Kabupaten","Regency","",""
16,106,"IDN","Indonesia",1,"Aceh",16,"Langsa","ID.AC.LA",NA,"","Kotamadya","Municipality","","Kota Langsa"
17,106,"IDN","Indonesia",1,"Aceh",17,"Lhokseumawe","ID.AC.LH",NA,"","Kotamadya","Municipality","","Kota Lhokseumawe"
18,106,"IDN","Indonesia",1,"Aceh",18,"Nagan Raya","ID.AC.NR",NA,"","Kabupaten","Regency","",""
19,106,"IDN","Indonesia",1,"Aceh",19,"Pidie","ID.AC.PI",NA,"","Kabupaten","Regency","",""
20,106,"IDN","Indonesia",1,"Aceh",20,"Sabang","ID.AC.SA",NA,"","Kotamadya","Municipality","","Kota Sabang"
21,106,"IDN","Indonesia",1,"Aceh",21,"Simeulue","ID.AC.SI",NA,"","Kabupaten","Regency","",""
22,106,"IDN","Indonesia",2,"Bali",22,"Badung","ID.BA.BD",NA,"","Kabupaten","Regency","",""
23,106,"IDN","Indonesia",2,"Bali",23,"Bangli","ID.BA.BN",NA,"","Kabupaten","Regency","",""
24,106,"IDN","Indonesia",2,"Bali",24,"Buleleng","ID.BA.BL",NA,"","Kabupaten","Regency","",""
25,106,"IDN","Indonesia",2,"Bali",25,"Denpasar","ID.BA.DE",NA,"","Kotamadya","Municipality","","Kota Denpasar"
26,106,"IDN","Indonesia",2,"Bali",26,"Gianyar","ID.BA.GI",NA,"","Kabupaten","Regency","",""
27,106,"IDN","Indonesia",2,"Bali",27,"Jembrana","ID.BA.JE",NA,"","Kabupaten","Regency","",""
28,106,"IDN","Indonesia",2,"Bali",28,"Karang Asem","ID.BA.KA",NA,"","Kabupaten","Regency","","Karangasem"
29,106,"IDN","Indonesia",2,"Bali",29,"Klungkung","ID.BA.KL",NA,"","Kabupaten","Regency","",""
30,106,"IDN","Indonesia",2,"Bali",30,"Tabanan","ID.BA.TA",NA,"","Kabupaten","Regency","",""
31,106,"IDN","Indonesia",3,"Bangka-Belitung",31,"Bangka Barat","ID.BB.BB",NA,"","Kabupaten","Regency","","Belitung"
32,106,"IDN","Indonesia",3,"Bangka-Belitung",32,"Bangka Selatan","ID.BB.BS",NA,"","Kabupaten","Regency","","South Bangka"
33,106,"IDN","Indonesia",3,"Bangka-Belitung",33,"Bangka Tengah","ID.BB.BG",NA,"","Kabupaten","Regency","","Central Bangka"
34,106,"IDN","Indonesia",3,"Bangka-Belitung",34,"Bangka","ID.BB.BA",NA,"","Kabupaten","Regency","",""
35,106,"IDN","Indonesia",3,"Bangka-Belitung",35,"Belitung Timur","ID.BB.BT",NA,"","Kabupaten","Regency","","East Belitung"
36,106,"IDN","Indonesia",3,"Bangka-Belitung",36,"Belitung","ID.BB.BE",NA,"","Kabupaten","Regency","",""
37,106,"IDN","Indonesia",3,"Bangka-Belitung",37,"Pangkal Pinang","ID.BB.PP",NA,"","Kotamadya","Municipality","","Kota Pangkal Pinang|Pangkal Pingang"
38,106,"IDN","Indonesia",4,"Banten",38,"Cilegon","ID.BT.CL",NA,"","Kotamadya","Municipality","","Kota Cilegon"
39,106,"IDN","Indonesia",4,"Banten",39,"Kota Tangerang","ID.BT.TM",NA,"","Kotamadya","Municipality","",""
40,106,"IDN","Indonesia",4,"Banten",40,"Lebak","ID.BT.LE",NA,"","Kabupaten","Regency","",""
41,106,"IDN","Indonesia",4,"Banten",41,"Pandeglang","ID.BT.PA",NA,"","Kabupaten","Regency","",""
42,106,"IDN","Indonesia",4,"Banten",42,"Serang","ID.BT.SE",NA,"","Kabupaten","Regency","",""
43,106,"IDN","Indonesia",4,"Banten",43,"Tangerang","ID.BT.TR",NA,"","Kabupaten","Regency","",""
44,106,"IDN","Indonesia",5,"Bengkulu",44,"Bengkulu Selatan","ID.BE.BS",NA,"","Kabupaten","Regency","","South Bengkulu"
45,106,"IDN","Indonesia",5,"Bengkulu",45,"Bengkulu Utara","ID.BE.BU",NA,"","Kabupaten","Regency","","North Bengkulu"
46,106,"IDN","Indonesia",5,"Bengkulu",46,"Bengkulu","ID.BE.BE",NA,"","Kotamadya","Municipality","","Kota Bengkulu"
47,106,"IDN","Indonesia",5,"Bengkulu",47,"Kaur","ID.BE.KA",NA,"","Kabupaten","Regency","",""
48,106,"IDN","Indonesia",5,"Bengkulu",48,"Kepahiang","ID.BE.KE",NA,"","Kabupaten","Regency","",""
49,106,"IDN","Indonesia",5,"Bengkulu",49,"Lebong","ID.BE.LE",NA,"","Kabupaten","Regency","",""
50,106,"IDN","Indonesia",5,"Bengkulu",50,"Mukomuko","ID.BE.MU",NA,"","Kabupaten","Regency","","Muko Muko"
51,106,"IDN","Indonesia",5,"Bengkulu",51,"Rejang Lebong","ID.BE.RL",NA,"","Kabupaten","Regency","",""
52,106,"IDN","Indonesia",5,"Bengkulu",52,"Seluma","ID.BE.SE",NA,"","Kabupaten","Regency","",""
53,106,"IDN","Indonesia",6,"Gorontalo",53,"Boalemo","ID.GO.BO",NA,"","Kabupaten","Regency","",""
54,106,"IDN","Indonesia",6,"Gorontalo",54,"Bone Bolango","ID.GO.BB",NA,"","Kabupaten","Regency","",""
55,106,"IDN","Indonesia",6,"Gorontalo",55,"Gorontalo","ID.GO.GM",NA,"","City","City","",""
56,106,"IDN","Indonesia",6,"Gorontalo",56,"Gorontalo","ID.GO.GR",NA,"","Kabupaten","Regency","",""
57,106,"IDN","Indonesia",6,"Gorontalo",57,"Pohuwato","ID.GO.PO",NA,"","Kabupaten","Regency","",""
58,106,"IDN","Indonesia",7,"Irian Jaya Barat",58,"Fak-Fak","ID.IB.FA",NA,"","Kabupaten","Regency","",""
59,106,"IDN","Indonesia",7,"Irian Jaya Barat",59,"Kaimana","ID.IB.KA",NA,"","Kabupaten","Regency","",""
60,106,"IDN","Indonesia",7,"Irian Jaya Barat",60,"Kota Sorong","ID.IB.SG",NA,"","Kotamadya","Municipality","","Sorong"
61,106,"IDN","Indonesia",7,"Irian Jaya Barat",61,"Manokwari","ID.IB.MA",NA,"","Kabupaten","Regency","",""
62,106,"IDN","Indonesia",7,"Irian Jaya Barat",62,"Raja Ampat","ID.IB.RA",NA,"","Kabupaten","Regency","",""
63,106,"IDN","Indonesia",7,"Irian Jaya Barat",63,"Sorong Selatan","ID.IB.SS",NA,"","Kotamadya","Municipality","",""
64,106,"IDN","Indonesia",7,"Irian Jaya Barat",64,"Sorong","ID.IB.SO",NA,"","Kotamadya","Municipality","",""
65,106,"IDN","Indonesia",7,"Irian Jaya Barat",65,"Teluk Bintuni","ID.IB.TB",NA,"","Kabupaten","Regency","",""
66,106,"IDN","Indonesia",7,"Irian Jaya Barat",66,"Teluk Wondama","ID.IB.TW",NA,"","Kabupaten","Regency","",""
67,106,"IDN","Indonesia",8,"Jakarta Raya",67,"Admin. Kepulauan Seribu","ID.JK.KS",NA,"","Kabupaten","Regency","","Kepulauan Seribu"
68,106,"IDN","Indonesia",8,"Jakarta Raya",68,"Jakarta Barat","ID.JK.JB",NA,"","Kotamadya","Municipality","","Kota Jakarta Barat| West Jakarta"
69,106,"IDN","Indonesia",8,"Jakarta Raya",69,"Jakarta Pusat","ID.JK.JP",NA,"","Kotamadya","Municipality","","Kota Jakarta Pusat| Central Jakarta"
70,106,"IDN","Indonesia",8,"Jakarta Raya",70,"Jakarta Selatan","ID.JK.JS",NA,"","Kotamadya","Municipality","","Kota Jakarta Selatan| South Jakarta"
71,106,"IDN","Indonesia",8,"Jakarta Raya",71,"Jakarta Timur","ID.JK.JT",NA,"","Kotamadya","Municipality","","Kota Jakarta Timur| East Jakarta"
72,106,"IDN","Indonesia",8,"Jakarta Raya",72,"Jakarta Utara","ID.JK.JU",NA,"","Kotamadya","Municipality","","Kota Jakarta Utara| North Jakarta"
73,106,"IDN","Indonesia",9,"Jambi",73,"Batang Hari","ID.JA.BA",NA,"","Kabupaten","Regency","","Batanghari"
74,106,"IDN","Indonesia",9,"Jambi",74,"Bungo","ID.JA.BT",NA,"","Kabupaten","Regency","","Bungo Tebo"
75,106,"IDN","Indonesia",9,"Jambi",75,"Jambi","ID.JA.JA",NA,"","Kotamadya","Municipality","","Kota Jambi"
76,106,"IDN","Indonesia",9,"Jambi",76,"Kerinci","ID.JA.KE",NA,"","Kabupaten","Regency","",""
77,106,"IDN","Indonesia",9,"Jambi",77,"Merangin","ID.JA.SB",NA,"","Kabupaten","Regency","","Sarolangon Bangko|Sarolangun Bangko"
78,106,"IDN","Indonesia",9,"Jambi",78,"Muaro Jambi","ID.JA.MJ",NA,"","Kabupaten","Regency","","Muara Jambi"
79,106,"IDN","Indonesia",9,"Jambi",79,"Sarolangun","ID.JA.SA",NA,"","Kabupaten","Regency","",""
80,106,"IDN","Indonesia",9,"Jambi",80,"Tanjung Jabung Barat","ID.JA.TJ",NA,"","Kabupaten","Regency","","Tanjung Jabung|West Tanjung Jabung"
81,106,"IDN","Indonesia",9,"Jambi",81,"Tanjung Jabung Timur","ID.JA.TT",NA,"","Kabupaten","Regency","","West Tanjung Jabung"
82,106,"IDN","Indonesia",9,"Jambi",82,"Tebo","ID.JA.TE",NA,"","Kabupaten","Regency","",""
83,106,"IDN","Indonesia",10,"Jawa Barat",83,"Bandung","ID.JR.BD",NA,"","Kabupaten","Regency","",""
84,106,"IDN","Indonesia",10,"Jawa Barat",84,"Banjar","ID.JR.BA",NA,"","Kotamadya","Municipality","","Kota Banjar"
85,106,"IDN","Indonesia",10,"Jawa Barat",85,"Bekasi","ID.JR.BS",NA,"","Kabupaten","Regency","",""
86,106,"IDN","Indonesia",10,"Jawa Barat",86,"Bogor","ID.JR.BR",NA,"","Kabupaten","Regency","",""
87,106,"IDN","Indonesia",10,"Jawa Barat",87,"Ciamis","ID.JR.CS",NA,"","Kabupaten","Regency","",""
88,106,"IDN","Indonesia",10,"Jawa Barat",88,"Cianjur","ID.JR.CJ",NA,"","Kabupaten","Regency","",""
89,106,"IDN","Indonesia",10,"Jawa Barat",89,"Cimahi","ID.JR.CI",NA,"","Kotamadya","Municipality","","Kota Cimahi"
90,106,"IDN","Indonesia",10,"Jawa Barat",90,"Cirebon","ID.JR.CR",NA,"","Kabupaten","Regency","",""
91,106,"IDN","Indonesia",10,"Jawa Barat",91,"Depok","ID.JR.DE",NA,"","Kotamadya","Municipality","","Kota Depok"
92,106,"IDN","Indonesia",10,"Jawa Barat",92,"Garut","ID.JR.GA",NA,"","Kabupaten","Regency","",""
93,106,"IDN","Indonesia",10,"Jawa Barat",93,"Indramayu","ID.JR.IN",NA,"","Kabupaten","Regency","",""
94,106,"IDN","Indonesia",10,"Jawa Barat",94,"Karawang","ID.JR.KA",NA,"","Kabupaten","Regency","",""
95,106,"IDN","Indonesia",10,"Jawa Barat",95,"Kota Bandung","ID.JR.BN",NA,"","Kotamadya","Municipality","",""
96,106,"IDN","Indonesia",10,"Jawa Barat",96,"Kota Bekasi","ID.JR.BK",NA,"","Kotamadya","Municipality","",""
97,106,"IDN","Indonesia",10,"Jawa Barat",97,"Kota Bogor","ID.JR.BG",NA,"","Kotamadya","Municipality","",""
98,106,"IDN","Indonesia",10,"Jawa Barat",98,"Kota Cirebon","ID.JR.CM",NA,"","Kotamadya","Municipality","",""
99,106,"IDN","Indonesia",10,"Jawa Barat",99,"Kota Sukabumi","ID.JR.SM",NA,"","Kotamadya","Municipality","",""
100,106,"IDN","Indonesia",10,"Jawa Barat",100,"Kota Tasikmalaya","ID.JR.TM",NA,"","Kotamadya","Municipality","",""
101,106,"IDN","Indonesia",10,"Jawa Barat",101,"Kuningan","ID.JR.KU",NA,"","Kabupaten","Regency","",""
102,106,"IDN","Indonesia",10,"Jawa Barat",102,"Majalengka","ID.JR.MA",NA,"","Kabupaten","Regency","",""
103,106,"IDN","Indonesia",10,"Jawa Barat",103,"Purwakarta","ID.JR.PU",NA,"","Kabupaten","Regency","",""
104,106,"IDN","Indonesia",10,"Jawa Barat",104,"Subang","ID.JR.SB",NA,"","Kabupaten","Regency","",""
